year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
2000,4.3,5.1,6.5,6.7,10.8,13.2,14.1,15.2,13.5,9.3,5.8,4.6,4.29,8.03,14.15,9.52,9.10
2001,2.5,3.4,4.0,6.6,11.3,12.6,15.2,15.2,12.2,12.2,6.8,3.1,3.51,7.34,14.34,10.40,8.80
2002,5.0,5.5,6.4,8.2,10.7,13.1,14.4,15.6,13.1,8.7,7.5,4.7,4.49,8.45,14.39,9.76,9.44
2003,3.7,3.4,6.7,8.8,10.7,14.5,16.2,16.5,13.1,8.1,7.3,4.2,3.96,8.74,15.74,9.50,9.47
2004,4.4,4.3,5.7,8.5,11.0,13.9,14.4,16.1,13.4,9.3,7.0,5.0,4.32,8.39,14.83,9.92,9.44
2005,5.3,3.7,6.4,7.9,10.0,14.1,15.3,14.8,13.8,11.6,5.6,4.1,4.68,8.08,14.74,10.34,9.41
2006,3.8,3.4,3.9,7.4,10.7,14.5,17.8,14.9,15.2,11.6,7.2,5.5,3.81,7.33,15.75,11.35,9.70
2007,5.9,5.1,6.3,10.2,10.6,13.7,14.2,14.3,12.6,10.2,6.8,4.4,5.54,9.02,14.10,9.90,9.56
2008,5.3,4.9,5.1,7.0,12.1,12.9,15.3,15.1,12.5,8.7,6.1,3.1,4.84,8.10,14.45,9.08,9.02
2009,2.8,3.7,6.1,8.9,10.8,13.7,15.1,15.3,13.2,10.4,7.3,2.1,3.18,8.59,14.71,10.28,9.14
2010,0.9,1.8,5.1,7.9,9.7,14.1,15.6,14.2,12.8,9.4,4.3,-0.9,1.62,7.57,14.62,8.83,7.94
2011,3.1,5.3,5.8,10.7,11.0,12.6,14.2,14.1,13.8,11.2,8.7,4.8,2.41,9.12,13.63,11.22,9.61
2012,4.6,4.2,7.7,6.3,10.5,12.3,14.1,15.3,11.9,8.2,5.7,3.8,4.55,8.18,13.90,8.60,8.74
2013,3.3,2.7,2.2,6.3,9.5,12.8,17.0,15.6,12.7,11.2,5.5,5.7,3.31,5.98,15.15,9.80,8.74
2014,4.7,5.2,6.7,9.2,11.2,14.2,16.3,13.9,13.9,11.0,7.6,4.4,5.19,9.02,14.80,10.84,9.88
2015,3.7,3.5,5.5,7.9,9.5,12.7,14.4,14.7,11.9,10.0,8.1,7.9,3.89,7.66,13.91,9.99,9.18
2016,4.5,3.8,5.3,6.5,11.3,13.9,15.3,15.5,14.6,9.8,4.9,5.9,5.47,7.69,14.89,9.75,9.29
2017,3.8,5.2,7.3,8.0,12.1,14.4,15.1,14.5,12.5,11.2,5.7,4.1,4.97,9.12,14.70,9.84,9.53
2018,4.0,2.3,3.8,8.4,12.0,14.8,17.2,15.2,12.4,9.5,7.3,5.8,3.52,8.08,15.76,9.73,9.45
2019,3.4,6.0,6.8,8.4,10.0,13.2,16.4,15.8,13.1,8.9,5.3,5.1,5.05,8.38,15.14,9.10,9.39
2020,5.6,5.1,5.6,9.1,11.3,14.0,14.3,15.9,12.8,9.4,7.7,4.3,5.28,8.68,14.76,9.98,9.62
2021,2.2,4.1,6.4,5.7,9.1,14.2,16.6,15.0,14.7,10.9,7.0,5.3,3.51,7.07,15.28,10.84,9.28
2022,4.7,5.6,6.7,8.1,11.8,13.9,16.5,16.6,13.4,11.6,8.2,2.9,5.18,8.87,15.71,11.05,10.03
2023,4.4,5.8,5.7,7.8,11.6,15.8,15.0,15.3,15.2,10.7,6.3,5.8,4.32,8.37,15.36,10.74,9.97
2024,3.8,6.3,6.7,8.3,13.1,12.9,14.8,15.4,12.7,10.4,6.6,6.2,5.29,9.37,14.37,9.92,9.78
